scenario_id,split,regime,domain_length_m,spatial_nodes,spatial_step_m,final_time_s,time_nodes,time_step_s,velocity_m_s,dispersion_m2_s,retardation_factor,decay_rate_s_1,source_concentration_mg_L,source_start_s,source_duration_s,source_end_s,dispersivity_m,peclet_number,damkohler_number,advective_travel_time_s
ADR1D-0012,validation,conservative,1000,51,20,86400,49,1800,0.225459866667,1.00141512513,1,0,0.292210710319,998.715754625,6480.32062042,7479.03637505,4.44165580301,225.141263607,0,4435.37918647
ADR1D-0013,train,conservative,1000,51,20,86400,49,1800,0.085376369355,9.55732879388,1,0,0.454353312394,1400.15208264,8986.27328838,10386.425371,111.943490524,8.93307860348,0,11712.8428809
ADR1D-0014,train,conservative,1000,51,20,86400,49,1800,0.134573881179,11.7443966194,1,0,3.11060648828,2857.85541286,5137.67984098,7995.53525384,87.2709958018,11.4585606686,0,7430.86244701
ADR1D-0015,train,conservative,1000,51,20,86400,49,1800,0.255070608662,1.88765355617,1,0,0.269876028195,1908.94673305,10110.1124992,12019.0592323,7.40051378742,135.125753255,0,3920.48305858
ADR1D-0016,test,conservative,1000,51,20,86400,49,1800,0.226395285384,1.68124308032,1,0,4.07329167041,2088.63998837,8179.70523459,10268.345223,7.42613998107,134.659460036,0,4417.05311267
ADR1D-0017,train,conservative,1000,51,20,86400,49,1800,0.348515737128,1.13515874216,1,0,0.336616127006,2425.76473604,3629.69137203,6055.45610808,3.25712334115,307.019383444,0,2869.31089035
ADR1D-0018,train,conservative,1000,51,20,86400,49,1800,0.0702105785917,1.27682990531,1,0,0.230357594219,1758.91524125,6878.00607866,8636.92131991,18.1857197437,54.9882003073,0,14242.8679561
ADR1D-0019,train,conservative,1000,51,20,86400,49,1800,0.285695764349,9.00607410217,1,0,0.57195529952,1025.42610603,8447.20027464,9472.62638068,31.5233028488,31.7225642502,0,3500.22690144
ADR1D-0020,train,conservative,1000,51,20,86400,49,1800,0.0964052211557,1.26707231509,1,0,0.627426593813,1276.12387891,10204.529244,11480.6531229,13.1431918303,76.0850189903,0,10372.8821739
ADR1D-0021,validation,conservative,1000,51,20,86400,49,1800,0.202540096675,1.44873290185,1,0,0.912619529439,9.27389395964,7281.43221539,7290.70610935,7.15282023477,139.804995397,0,4937.29397988
ADR1D-0022,train,conservative,1000,51,20,86400,49,1800,0.231111912885,2.21918213388,1,0,2.4876348377,110.548103897,4446.06373316,4556.61183705,9.60219707488,104.142832333,0,4326.90806595
ADR1D-0023,train,conservative,1000,51,20,86400,49,1800,0.335266413039,7.24148813948,1,0,3.4446112011,2284.95457732,3763.31911538,6048.2736927,21.5992054612,46.2979993313,0,2982.70259444
ADR1D-0024,validation,conservative,1000,51,20,86400,49,1800,0.322980122428,7.46279165825,1,0,2.25045320567,2168.54733379,3524.73457908,5693.28191288,23.1060400936,43.2787269454,0,3096.1657717
ADR1D-0025,train,conservative,1000,51,20,86400,49,1800,0.198413628587,14.8863227815,1,0,0.373114312596,2209.05314753,8295.1121648,10504.1653123,75.0267150876,13.3285856756,0,5039.97637219
ADR1D-0026,train,conservative,1000,51,20,86400,49,1800,0.140188268444,2.5701008582,1,0,1.15826052012,1154.92136066,9024.45448121,10179.3758419,18.3332092388,54.5458237549,0,7133.26450994
ADR1D-0027,train,conservative,1000,51,20,86400,49,1800,0.065509327035,5.06875655407,1,0,2.70884650306,3261.46936882,10027.5811741,13289.0505429,77.3745783003,12.92414152,0,15265.0018747
ADR1D-0028,train,conservative,1000,51,20,86400,49,1800,0.237909755312,19.8958655896,1,0,0.743510206131,1119.49897529,3350.79385701,4470.29283231,83.6277838356,11.9577484197,0,4203.27446719
ADR1D-0029,validation,conservative,1000,51,20,86400,49,1800,0.15242164188,3.01617826597,1,0,4.97059236474,3026.06530441,2248.42629628,5274.49160069,19.7883858799,50.5346927269,0,6560.74811729
ADR1D-0030,test,conservative,1000,51,20,86400,49,1800,0.21354236433,12.8129403856,1,0,0.823970001435,2724.51193158,5468.9504907,8193.46242228,60.0018662611,16.6661482769,0,4682.91152971
ADR1D-0031,train,conservative,1000,51,20,86400,49,1800,0.310722161499,9.91692530288,1,0,4.33446809613,3390.752915,5542.8082001,8933.56111511,31.9157322253,31.332510028,0,3218.30922898
ADR1D-0032,train,conservative,1000,51,20,86400,49,1800,0.329706543609,3.2518607087,1,0,0.361894678767,2000.54034444,4861.05057728,6861.59092172,9.86289405453,101.39011881,0,3033.00016145
ADR1D-0033,validation,conservative,1000,51,20,86400,49,1800,0.159658602904,3.66773304102,1,0,1.72759006726,3159.79323362,3860.95601462,7020.74924824,22.9723483377,43.5305953619,0,6263.36433998
ADR1D-0034,train,conservative,1000,51,20,86400,49,1800,0.191547273996,1.80596077524,1,0,1.09941417594,3430.11290464,5923.03263395,9353.14553858,9.4282770909,106.063917125,0,5220.64333854
ADR1D-0035,train,conservative,1000,51,20,86400,49,1800,0.194284449214,11.212731791,1,0,0.837519694042,865.262669112,7382.9085715,8248.17124061,57.7129658931,17.3271289133,0,5147.09233831
ADR1D-0036,train,conservative,1000,51,20,86400,49,1800,0.261968311188,6.59795718388,1,0,2.56169931157,408.882976491,2015.27177901,2424.1547555,25.1860889355,39.7044575901,0,3817.2555889
ADR1D-0037,train,conservative,1000,51,20,86400,49,1800,0.274038567527,1.9285466124,1,0,2.33467421765,3303.08330175,3962.02957311,7265.11287487,7.03750070586,142.09590049,0,3649.12139567
ADR1D-0038,test,conservative,1000,51,20,86400,49,1800,0.0608376528039,2.09288500965,1,0,2.80017127532,1616.02348056,9402.96497339,11018.988454,34.4011465465,29.0687985835,0,16437.1890418
ADR1D-0039,test,conservative,1000,51,20,86400,49,1800,0.316463094077,1.11368643743,1,0,1.38954233325,2140.85049025,10360.5322541,12501.3827443,3.51916687371,284.15816467,0,3159.92612951
ADR1D-0040,train,conservative,1000,51,20,86400,49,1800,0.0772500511381,6.3296327161,1,0,0.656576197016,2551.77053368,6986.8210092,9538.59154288,81.9369388479,12.2045076868,0,12944.9752494
ADR1D-0041,validation,conservative,1000,51,20,86400,49,1800,0.154977697361,6.15339445311,1,0,4.48867452072,769.37211608,9824.5533302,10593.9254463,39.7050321298,25.1857244878,0,6452.54134647
ADR1D-0042,train,conservative,1000,51,20,86400,49,1800,0.321725896913,1.61387027227,1,0,0.524021600699,2674.06825694,1902.45291501,4576.52117195,5.01628960478,199.350531725,0,3108.23595363
ADR1D-0043,train,conservative,1000,51,20,86400,49,1800,0.332959512343,3.80336425668,1,0,0.200193021905,2621.49363413,5660.60993463,8282.10356876,11.4229031329,87.5434194236,0,3003.36816618
ADR1D-0044,train,conservative,1000,51,20,86400,49,1800,0.288828694818,2.69119857119,1,0,0.317193579455,144.789746732,2495.31108928,2640.10083601,9.31762882108,107.323442391,0,3462.25987217
ADR1D-0045,train,conservative,1000,51,20,86400,49,1800,0.118745730546,5.48860269084,1,0,3.76030111174,822.162750374,7847.20854942,8669.37129979,46.2214739478,21.6349656251,0,8421.35540708
ADR1D-0046,train,conservative,1000,51,20,86400,49,1800,0.0502794509518,1.05565685727,1,0,0.99565938989,2532.15003238,8834.08064204,11366.2306744,20.9957912682,47.6285931416,0,19888.8408896
ADR1D-0047,test,conservative,1000,51,20,86400,49,1800,0.189333677263,4.86954324374,1,0,0.214293727758,1448.57240763,2855.91054881,4304.48295644,25.7193718209,38.8811984586,0,5281.68054652
ADR1D-0048,train,conservative,1000,51,20,86400,49,1800,0.12940342606,1.9896696411,1,0,4.69858215695,3470.2518763,6829.56534811,10299.8172244,15.3757106877,65.0376441329,0,7727.7706661
ADR1D-0049,test,conservative,1000,51,20,86400,49,1800,0.14525036862,5.33450631145,1,0,1.4613284198,558.233356225,10441.8295539,11000.0629102,36.7262841542,27.2284556695,0,6884.66411136
ADR1D-0050,train,conservative,1000,51,20,86400,49,1800,0.183912619221,1.5242999914,1,0,1.51228662607,454.421200165,2748.63254602,3203.05374618,8.28817510106,120.653821596,0,5437.36478897
ADR1D-0051,train,conservative,1000,51,20,86400,49,1800,0.265029967685,19.1695826685,1,0,3.63176710758,369.364180945,6423.36475756,6792.72893851,72.3298683388,13.8255470799,0,3773.15821579
ADR1D-0052,test,conservative,1000,51,20,86400,49,1800,0.297284307404,17.9803646238,1,0,0.249417433439,1090.42131808,6659.05774866,7749.47906674,60.4820509391,16.5338308552,0,3363.78333836
ADR1D-0053,train,conservative,1000,51,20,86400,49,1800,0.242634625983,16.8506893151,1,0,0.938270040355,3076.00430096,2049.35846325,5125.36276421,69.4488235006,14.3990920162,0,4121.42329623
ADR1D-0054,validation,conservative,1000,51,20,86400,49,1800,0.221278996607,1.63530657617,1,0,0.237969801687,309.623366531,5010.56459146,5320.18795799,7.39024761156,135.31346344,0,4519.18173588
ADR1D-0055,train,conservative,1000,51,20,86400,49,1800,0.250355643439,15.1848731657,1,0,1.97834987708,2887.19953236,3428.62230443,6315.82183678,60.6532089994,16.487173828,0,3994.31778834
ADR1D-0056,train,conservative,1000,51,20,86400,49,1800,0.340468310197,11.9539000118,1,0,1.23989637061,2025.85358605,7448.95313487,9474.80672092,35.1101692985,28.4817766471,0,2937.13091659
ADR1D-0057,validation,conservative,1000,51,20,86400,49,1800,0.179219782028,2.25981484678,1,0,1.87040107715,2456.88422185,2587.71301995,5044.5972418,12.6091819843,79.3072858528,0,5579.74119087
ADR1D-0058,train,conservative,1000,51,20,86400,49,1800,0.26713978246,8.08619459473,1,0,1.81453614283,2806.46985681,5330.82255528,8137.29241209,30.2695260147,33.0365265553,0,3743.35859224
ADR1D-0059,train,conservative,1000,51,20,86400,49,1800,0.0667474685748,1.40398276103,1,0,2.97697136083,2347.73989656,5245.28906868,7593.02896523,21.0342473056,47.5415157705,0,14981.8415792
ADR1D-0060,train,conservative,1000,51,20,86400,49,1800,0.206264340249,2.8625871692,1,0,4.02703118271,3013.54668631,4192.78962312,7206.33630944,13.878245584,72.0552172063,0,4848.14776414
ADR1D-0061,train,conservative,1000,51,20,86400,49,1800,0.164277749,2.7366663424,1,0,0.294901398704,1525.54650662,4724.33261734,6249.87912396,16.6587767306,60.0284172226,0,6087.25165815
ADR1D-0062,test,conservative,1000,51,20,86400,49,1800,0.125944258358,13.6680601584,1,0,0.681983004892,1325.47687638,8590.83940989,9916.31628628,108.524678589,9.2144940027,0,7940.02055382
ADR1D-0063,test,conservative,1000,51,20,86400,49,1800,0.302057713714,1.32670069026,1,0,0.227271532382,2747.37888189,3193.31086649,5940.68974837,4.39220927002,227.675854797,0,3310.62560099
ADR1D-0064,test,conservative,1000,51,20,86400,49,1800,0.110251225825,8.79755295898,1,0,2.0849009732,627.032185792,9491.87875028,10118.9109361,79.7955115071,12.5320332073,0,9070.19393679
ADR1D-0065,train,conservative,1000,51,20,86400,49,1800,0.171981094845,14.1795822718,1,0,0.776607015717,3192.72636801,10712.2414031,13904.9677711,82.4484940307,12.1287843005,0,5814.5925917
ADR1D-0066,validation,conservative,1000,51,20,86400,49,1800,0.167345460478,2.39202798178,1,0,0.484330208053,93.9690147133,8106.27532596,8200.24434067,14.2939520137,69.9596583954,0,5975.66254349
ADR1D-0067,train,conservative,1000,51,20,86400,49,1800,0.0863921535499,3.46529499526,1,0,1.03314031216,3312.84025325,4228.76153237,7541.60178562,40.1112236802,24.9306779562,0,11575.1252736
ADR1D-0068,train,conservative,1000,51,20,86400,49,1800,0.246586105897,10.4662095046,1,0,0.494948477267,744.108056026,7649.95982562,8394.06788165,42.4444413301,23.5602111528,0,4055.37853142
ADR1D-0069,train,conservative,1000,51,20,86400,49,1800,0.0786068820307,3.90799822547,1,0,0.394418410031,243.420752401,9121.17255178,9364.59330418,49.7157262127,20.1143597043,0,12721.532443
ADR1D-0070,train,conservative,1000,51,20,86400,49,1800,0.343533870175,6.81345115183,1,0,1.58223090599,1383.63846679,4345.16095358,5728.79942037,19.8334188951,50.4199505536,0,2910.92112545
ADR1D-0071,validation,conservative,1000,51,20,86400,49,1800,0.114779751255,3.34993490456,1,0,3.32409245717,1938.28987616,2332.81697983,4271.10685599,29.1857655026,34.2632781008,0,8712.33810031
ADR1D-0072,train,conservative,1000,51,20,86400,49,1800,0.240109045037,4.58104102615,1,0,0.700608771288,501.766866234,6252.07779718,6753.84466342,19.0790023151,52.413642154,0,4164.77438343
ADR1D-0073,train,conservative,1000,51,20,86400,49,1800,0.102090589767,16.0267556165,1,0,0.429022956344,1697.27717676,4587.5555412,6284.83271796,156.985630636,6.37000976428,0,9795.22208935
ADR1D-0074,test,conservative,1000,51,20,86400,49,1800,0.290808443254,4.44761644851,1,0,0.399778535177,1639.45539758,7692.26474104,9331.72013862,15.2939728941,65.3852342307,0,3438.68970519
ADR1D-0075,train,conservative,1000,51,20,86400,49,1800,0.175135935136,5.92650364112,1,0,0.893623519602,927.721973718,9880.96253973,10808.6845134,33.8394495483,29.5513081137,0,5709.85046116
ADR1D-0076,train,decay_only,1000,51,20,86400,49,1800,0.305483701725,5.90744859588,1,1.80791589701e-05,3.48479571251,3251.08375424,2122.0208403,5373.10459454,19.3380156209,51.7116140356,0.0591820737669,3273.49706172
ADR1D-0077,train,decay_only,1000,51,20,86400,49,1800,0.255218447683,1.36468778998,1,4.53433167832e-07,0.389673122357,2828.87977083,5208.43088147,8037.31065231,5.34713615871,187.015997035,0.00177664730723,3918.21206138
ADR1D-0078,train,decay_only,1000,51,20,86400,49,1800,0.299464327423,16.1705963217,1,1.01872777151e-07,2.66128067819,2722.40000984,4292.4166289,7014.81663874,53.9984059565,18.5190651888,0.000340183346803,3339.29589746
ADR1D-0079,train,decay_only,1000,51,20,86400,49,1800,0.347311733901,1.25003126194,1,2.30525350951e-07,0.238471637414,267.28691222,6490.57452235,6757.86143457,3.59916219328,277.842438406,0.000663741902301,2879.25774568
ADR1D-0080,test,decay_only,1000,51,20,86400,49,1800,0.188501323855,8.07359461084,1,2.001655025e-07,0.207804296639,3400.41766863,10566.5187631,13966.9364317,42.8304398386,23.3478807075,0.00106187849723,5305.00253023
ADR1D-0081,train,decay_only,1000,51,20,86400,49,1800,0.0756535142466,9.02989143943,1,1.6042783801e-07,3.9995770981,2220.73719011,6996.58984616,9217.32703628,119.358519288,8.37812001995,0.00212056028867,13218.1566178
ADR1D-0082,train,decay_only,1000,51,20,86400,49,1800,0.211017599454,1.1043445836,1,3.27501234188e-07,2.07919486872,508.876396552,10539.7335459,11048.6099425,5.23342406726,191.07948967,0.00155200909798,4738.94121905
ADR1D-0083,train,decay_only,1000,51,20,86400,49,1800,0.0842659297062,4.28989882498,1,1.11598044294e-06,1.43271370274,389.385058995,9919.9392178,10309.3242768,50.9090547026,19.6428711128,0.0132435546232,11867.192393
ADR1D-0084,train,decay_only,1000,51,20,86400,49,1800,0.10802045951,13.1101702473,1,1.20606045634e-07,0.372190522646,639.902801782,3908.18850355,4548.09130533,121.36747341,8.23943987549,0.00111651113299,9257.50551825
ADR1D-0085,train,decay_only,1000,51,20,86400,49,1800,0.214641009917,17.346173476,1,3.55261769355e-06,0.78092012414,1767.67614779,9827.6854181,11595.3615659,80.8148148515,12.3739688303,0.0165514395172,4658.94192535
ADR1D-0086,train,decay_only,1000,51,20,86400,49,1800,0.172623966684,9.70739968323,1,1.02139030524e-06,2.12464609611,167.341435713,7824.2142521,7991.55568781,56.2343680876,17.7827196074,0.0059168510889,5792.93836894
ADR1D-0087,train,decay_only,1000,51,20,86400,49,1800,0.221401307886,1.83725730043,1,1.59411182595e-05,1.35240723991,2332.70367455,5965.88590541,8298.58957996,8.29831276956,120.50642435,0.0720010121516,4516.68515217
ADR1D-0088,validation,decay_only,1000,51,20,86400,49,1800,0.232670780909,19.7548652684,1,2.55347594852e-07,0.98424645082,1240.84509756,9252.01472273,10492.8598203,84.9047963447,11.7778976342,0.00109746309294,4297.9182693
ADR1D-0089,train,decay_only,1000,51,20,86400,49,1800,0.071463592377,18.2592155965,1,4.22996612776e-06,2.74281521992,3467.93650873,6348.64479248,9816.58130121,255.503746581,3.91383693343,0.0591905050819,13993.1392579
ADR1D-0090,train,decay_only,1000,51,20,86400,49,1800,0.236597075319,7.48190293728,1,9.04113585877e-06,0.362653576771,344.257930953,9442.87880155,9787.1367325,31.6229730532,31.6225801514,0.0382132190205,4226.59493424
ADR1D-0091,validation,decay_only,1000,51,20,86400,49,1800,0.22889521213,1.08066066936,1,1.39847797486e-07,0.431108819987,3100.17568606,4555.20786181,7655.38354787,4.72120259442,211.810440243,0.000610968644492,4368.81134687
ADR1D-0092,train,decay_only,1000,51,20,86400,49,1800,0.198203297211,3.50082346699,1,1.51852450878e-06,0.65882147826,2080.14835829,8453.99642093,10534.1447792,17.6627912666,56.6161930413,0.00766144928034,5045.32474522
ADR1D-0093,validation,decay_only,1000,51,20,86400,49,1800,0.0508326922011,3.32590656781,1,3.85671451782e-06,0.209788862488,1884.28002601,5443.87523711,7328.15526312,65.4284953992,15.2838605549,0.0758707507082,19672.3792642
ADR1D-0094,validation,decay_only,1000,51,20,86400,49,1800,0.315887047565,10.3201881225,1,2.50986853165e-06,0.300498429598,3129.20654765,3310.36263783,6439.56918548,32.6705010607,30.6086520725,0.00794546199661,3165.6885197
ADR1D-0095,train,decay_only,1000,51,20,86400,49,1800,0.119721783731,2.07094146735,1,9.87188235893e-06,2.98908813123,1528.77588116,10294.515336,11823.2912172,17.2979503213,57.81031749,0.0824568599908,8352.69880583
ADR1D-0096,train,decay_only,1000,51,20,86400,49,1800,0.272636828209,3.19865113795,1,1.82277697479e-06,1.03410985874,2022.56353696,9557.07958025,11579.6431172,11.7322782801,85.2349369942,0.00668573276313,3667.88304635
ADR1D-0097,test,decay_only,1000,51,20,86400,49,1800,0.29699845662,1.96397899918,1,7.61066357887e-07,0.403422761627,1442.56573883,4824.24124523,6266.80698406,6.61275826661,151.222827099,0.00256252630585,3367.02086395
ADR1D-0098,train,decay_only,1000,51,20,86400,49,1800,0.247928144615,5.37902124836,1,3.82034822614e-07,1.28526509993,1810.07860719,2364.52541638,4174.60402357,21.6958879627,46.0916834433,0.00154090945668,4033.42670738
ADR1D-0099,train,decay_only,1000,51,20,86400,49,1800,0.338675554557,16.8060364607,1,1.3838884528e-05,1.90041121967,2156.26621824,7564.44729884,9720.71351707,49.6228211178,20.1520183148,0.0408617756488,2952.6784161
ADR1D-0100,test,decay_only,1000,51,20,86400,49,1800,0.102251713558,5.70478958758,1,9.1195159756e-07,0.726376834847,1193.57670269,3360.88954781,4554.46625049,55.7916282192,17.9238361008,0.00891869256593,9779.78720559
ADR1D-0101,train,decay_only,1000,51,20,86400,49,1800,0.174794272143,6.93673722017,1,3.14419947291e-06,0.262612010639,976.51650543,5027.69680196,6004.21330739,39.6851517793,25.1983413232,0.0179880006041,5721.01126506
ADR1D-0102,train,decay_only,1000,51,20,86400,49,1800,0.145376833396,4.20508731316,1,5.13008377394e-07,1.07474844516,1688.83046276,3095.55871941,4784.38918218,28.9254292788,34.5716563222,0.00352881793757,6878.67507252
ADR1D-0103,validation,decay_only,1000,51,20,86400,49,1800,0.0660462377437,5.14176707705,1,1.05111347751e-06,0.978200223957,2428.95743384,3986.2204758,6415.17790964,77.8510215375,12.8450466063,0.0159148123106,15140.9078573
ADR1D-0104,test,decay_only,1000,51,20,86400,49,1800,0.326290280049,6.75973550203,1,3.35785575499e-07,3.32881342023,109.503894103,6434.45296559,6543.95685969,20.7169380008,48.2696815506,0.00102910076098,3064.75571338
ADR1D-0105,train,decay_only,1000,51,20,86400,49,1800,0.285927956688,2.92404851115,1,8.35063568943e-07,1.71300641127,2461.11769077,10411.0002506,12872.1179413,10.2265219009,97.7849565758,0.00292053837133,3497.38448657
ADR1D-0106,train,decay_only,1000,51,20,86400,49,1800,0.318812144247,8.4819311486,1,1.73122577826e-07,0.463535103773,1991.4943708,3492.87957004,5484.37394084,26.6047931413,37.5872119994,0.000543023786737,3136.64337462
ADR1D-0107,validation,decay_only,1000,51,20,86400,49,1800,0.288626848212,14.7140801608,1,5.2722926143e-06,0.631454659226,2192.33197663,7730.76344076,9923.09541738,50.979596153,19.6156908932,0.0182668128311,3464.68114867
ADR1D-0108,validation,decay_only,1000,51,20,86400,49,1800,0.141920390336,4.39882529923,1,2.05393296801e-07,4.78654179202,322.566144212,8828.82822365,9151.39436787,30.9950197347,32.2632477269,0.00144724303756,7046.2038445
ADR1D-0109,train,decay_only,1000,51,20,86400,49,1800,0.334549797339,11.0612932716,1,2.77045709327e-07,0.883476795372,935.167397623,2723.47409991,3658.64149753,33.0632191666,30.2450888088,0.000828115011667,2989.09163286
ADR1D-0110,train,decay_only,1000,51,20,86400,49,1800,0.0606434347835,9.78927613591,1,6.58934578372e-07,0.34553433551,2498.3485092,7404.67566711,9903.02417631,161.423510572,6.19488447783,0.010865719937,16489.8311511
ADR1D-0111,train,decay_only,1000,51,20,86400,49,1800,0.19264531728,13.4570613185,1,1.14804794419e-07,0.567617556915,1023.15361718,4797.37434538,5820.52796256,69.8540795514,14.3155561768,0.000595938671339,5190.88662065
ADR1D-0112,validation,decay_only,1000,51,20,86400,49,1800,0.258181978093,10.8582952717,1,2.89552519568e-07,1.15530483792,561.679948287,6212.9316582,6774.61160649,42.0567514119,23.7773952202,0.00112150554313,3873.23703763
ADR1D-0113,test,decay_only,1000,51,20,86400,49,1800,0.122168361753,1.63526943205,1,8.31529079213e-06,0.553578737562,1604.14935092,1916.51916721,3520.66851813,13.3853757928,74.708399337,0.0680641916845,8185.42530694
ADR1D-0114,train,decay_only,1000,51,20,86400,49,1800,0.135931760972,18.6118930858,1,1.18884092237e-05,2.6056956101,209.380838162,1945.59066919,2154.97150735,136.920856118,7.30348924447,0.0874586567462,7356.63242242
ADR1D-0115,train,decay_only,1000,51,20,86400,49,1800,0.151718477545,2.69705125896,1,2.48904341414e-07,2.27905601257,3321.48158322,5368.31343651,8689.79501973,17.7766828576,56.2534646092,0.00164056709137,6591.15498771
ADR1D-0116,train,decay_only,1000,51,20,86400,49,1800,0.181783119914,3.95623374279,1,7.18721320083e-07,0.83711103323,2982.65811966,8066.81066818,11049.4687878,21.7634824656,45.9485287605,0.00395372969957,5501.06082717
ADR1D-0117,train,decay_only,1000,51,20,86400,49,1800,0.209414787812,12.7075276549,1,7.02000218305e-06,4.52652215095,2882.80264107,9701.99294011,12584.7955812,60.6811380789,16.4795854471,0.0335219984052,4775.21196306
ADR1D-0118,train,decay_only,1000,51,20,86400,49,1800,0.292624991053,4.91016604794,1,4.30656095372e-07,3.24716083375,703.043472224,9059.7751096,9762.81858182,16.7797221634,59.5957424241,0.00147169964473,3417.34312029
ADR1D-0119,train,decay_only,1000,51,20,86400,49,1800,0.166057700196,15.57261668,1,1.40152253537e-06,1.52905075571,1572.36026911,8963.34868041,10535.7089495,93.778347295,10.6634423494,0.0084399731763,6022.00318815
ADR1D-0120,train,decay_only,1000,51,20,86400,49,1800,0.148910970661,11.9816279874,1,7.70670952491e-06,0.511605803464,2749.51318591,5726.5227566,8476.03594252,80.4616875052,12.4282752575,0.0517538062555,6715.42194346
ADR1D-0121,train,decay_only,1000,51,20,86400,49,1800,0.309104029078,14.1782623115,1,4.96402031557e-07,0.271773570664,2265.96322947,6785.74394359,9051.70717306,45.8689016569,21.8012632498,0.00160593840539,3235.1567949
ADR1D-0122,train,decay_only,1000,51,20,86400,49,1800,0.110482707834,2.46521990848,1,3.85683463127e-07,1.68206328024,2970.20669602,10003.9637634,12974.1704594,22.3131742226,44.8165729369,0.00349089437332,9051.19017813
ADR1D-0123,train,decay_only,1000,51,20,86400,49,1800,0.16211718085,1.42638502745,1,1.2863930162e-05,1.84782820789,1102.30515977,8316.07849518,9418.38365495,8.7984815673,113.655974881,0.0793495796962,6168.37768061
ADR1D-0124,train,decay_only,1000,51,20,86400,49,1800,0.130997174331,1.72484778997,1,1.79816334805e-06,4.36225360885,3574.12140997,5131.72440293,8705.8458129,13.1670610361,75.9470923131,0.0137267338569,7633.75244626
ADR1D-0125,train,decay_only,1000,51,20,86400,49,1800,0.197368980025,4.71206135608,1,5.9670556527e-07,0.251120935352,41.8777229959,4635.24273324,4677.12045623,23.8743765888,41.8859104563,0.00302329963499,5066.65231725
ADR1D-0126,train,decay_only,1000,51,20,86400,49,1800,0.268062473386,5.31907033533,1,4.80746859587e-06,4.1936084818,462.432055449,5634.92757779,6097.35963324,19.842651857,50.3964897034,0.0179341350363,3730.47367417
ADR1D-0127,test,decay_only,1000,51,20,86400,49,1800,0.158951796896,6.33668974182,1,2.6300721298e-06,0.80737695962,725.619810235,7535.53743349,8261.15724372,39.8654803881,25.0843584541,0.0165463504103,6291.21544724
ADR1D-0128,train,decay_only,1000,51,20,86400,49,1800,0.342921066637,2.24339318652,1,1.0623517275e-05,0.233624938388,2592.50763714,7130.11116431,9722.61880146,6.54201040643,152.858209919,0.0309794827691,2916.12297199
ADR1D-0129,train,decay_only,1000,51,20,86400,49,1800,0.184781282275,2.0467483429,1,1.6420687095e-06,0.483332467856,2578.35179806,8225.37488299,10803.726681,11.0765999549,90.2804113244,0.00888655327687,5411.80355331
ADR1D-0130,test,decay_only,1000,51,20,86400,49,1800,0.313047480635,1.19086969526,1,1.73218554638e-05,4.98327557243,3452.29156243,10188.448249,13640.7398114,3.80411844504,262.872992639,0.0553329975013,3194.40360284
